Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
Saga /,Brian K Vaughan,9782365772013; 2365772013; 9782365772570; 2365772579; 9782365773744; 2365773745; 9782365774284; 2365774288; 9782365776950; 2365776957; 9782365778640; 236577864X; 9782365779241; 2365779247; 9791026811961; 9791026815280; 9791026815372; 9791026822615,Urban Comics,bandes dessinees,132,bandes dessinees
Tant que le café est encore chaud : roman /,Toshikazu.... Kawaguchi,9782226458506; 2226458506,Albin Michel,roman,133,roman
Le génie des dys : être dys et haut potentiel à la fois /,Michel Habib,9782361067663; 2361067668,Editions Sciences Humaines,dyslexie; enfants dyslexiques; enfants surdoues; surdoues; troubles de lapprentissage,134,dyslexie; dyspraxie; enfants dyslexiques; enfants surdoues; surdoues; troubles de lapprentissage
En vadrouille dans Aventicum /,"Lucile, archéologue Tissot",9782889680498; 2889680495,Infolio,avenches suisse vd; ouvrages pour la jeunesse; rome 50930 av jc republique; sites archeologiques,135,avenches suisse vd; galloromains suisse; ouvrages pour la jeunesse; rome 30 av jc476 empire; sites archeologiques
Et Dieu riait beaucoup : roman /,Joann Sfar,9782226457790; 2226457798,Albin Michel,,136,
Vaud /,Virginie Jobé-Truffé,9782365084116; 2365084117,Auzou,atlas; livres documentaires; ouvrages pour la jeunesse; vaud suisse,137,atlas; livres documentaires pour la jeunesse; ouvrages pour la jeunesse; vaud suisse
Miracle à la combe aux Aspics /,Ante Tomić,9782882506771; 2882506775,Noir sur Blanc,,138,
Un miracle : roman /,Victoria Mas,9782226474087; 2226474080,Albin Michel,,139,
Habibi /,Craig Thompson,9782203003279; 2203003278; 9782203132702; 2203132701,Casterman,bandes dessinees,140,bandes dessinees
L'illusion du mal : roman /,Piergiorgio Pulixi,9782351782774; 2351782771,Gallmeister,,141,
Oublier Gabriel /,Karine Yoakim-Pasquier,9782940712045; 2940712042,Editions Torticolis et Frères,roman suisse de langue francaise,142,roman suisse de langue francaise
Larmes de renard /,Matteo.... Salvadore,9782883871472; 2883871477,Plaisir de Lire,roman suisse de langue francaise,143,roman policier suisse de langue francaise
Le monstre poilu /,Henriette Bichonnier,9782075160445; 2075160449,Gallimard Jeunesse,monstres; roman pour la jeunesse,144,monstres; roman pour la jeunesse
Elles : roman /,Alba De Céspedes,9782072941795; 2072941792,Gallimard,,145,
Ne coupez jamais la poire en deux : un manuel redoutable pour négocier gagnant par un négociateur du FBI /,Christopher Voss,9782714474346; 2714474349,Belfond,guides pratiques; negociations; relations humaines,146,guides pratiques; negociations; relations humaines
La couleur des émotions : un livre tout animé /,Anna Llenas,9791026400134,Quatre Fleuves,couleurs; emotions; livres animes; ouvrages pour la jeunesse; sens et sensations,147,couleurs; emotions; livres animes; ouvrages pour la jeunesse; sens et sensations
Grèce continentale : + îles Ioniennes et Sporades : 2022-2023,,9782017187820; 2017187828,Hachette,grece; guides touristiques et de visite,148,grece; guides touristiques et de visite
Lettre à mon dictateur /,Eugène....,9782832111420; 2832111424,Editions Slatkine,biographie; roman suisse de langue francaise; suisses,149,biographie; roman suisse de langue francaise; roumains suisse
Escape game au manoir /,Nathalie Lescaille,9791036348075,Bayard Jeunesse,,150,
Le loup en [slip] se les gèle méchamment /,Wilfrid Lupano,9782505070405; 2505070407,Dargaud Bénélux,bandes dessinees,151,bandes dessinees
Le loup en [slip] /,Wilfrid Lupano,9782505067207; 2505067201,Dargaud Benelux,bandes dessinees; loup; ouvrages pour la jeunesse,152,bandes dessinees; loup; ouvrages pour la jeunesse
Ceux qui restent /,Wilfrid Lupano,9782505019930; 2505019932,Dargaud Benelux,bandes dessinees,153,bandes dessinees
Lucine et Enzo : ou le parcours d'un enfant atypique /,Emma dessinatrice....,9782380353143; 238035314X,Massot Editions,livres documentaires; trouble deficitaire de lattention avec ou sans hyperactivite,154,livres documentaires; trouble deficitaire de lattention avec ou sans hyperactivite
Celui qui part  /,Wilfrid Lupano,9782505063520; 2505063524,Dargaud Benelux,bandes dessinees,155,bandes dessinees
Bonny and Pierrot /,Wilfrid Lupano,9782505061632; 2505061637,Dargaud Benelux,bandes dessinees,156,bandes dessinees
Mon cerveau a besoin de lunettes : le TDAH expliqué aux enfants /,Annick Vincent,9782761958851; 2761958853,Les éditions de l'Homme,trouble deficitaire de lattention avec ou sans hyperactivite; troubles de lattention therapeutique,157,trouble deficitaire de lattention avec ou sans hyperactivite; troubles de lattention therapeutique
Le loup en [slip] slip hip hip ! /,Wilfrid Lupano,9782505071426; 250507142X,Dargaud Bénélux,animaux des forets; bandes dessinees; loup,158,animaux des forets; bandes dessinees; loup
Le coeur en braille /,Joris Chamblain,9782205086638; 2205086634,Dargaud,bandes dessinees; enfants handicapes education; handicap,159,adolescentes handicapees; bandes dessinees; cecite; handicap
Mon cerveau a encore besoin de lunettes : le TDAH chez les adolescents et les adultes : guide pratique pour mieux vivre avec le trouble du déficit de l'attention avec ou sans hyperactivité /,Annick.... Vincent,9782761958837; 2761958837,Les Éditions de l'Homme,guides pratiques; therapie comportementale; trouble deficitaire de lattention avec ou sans hyperactivite; troubles de lattention therapeutique,160,guides pratiques; therapie comportementale pour adolescents; trouble deficitaire de lattention avec ou sans hyperactivite; trouble deficitaire de lattention chez ladolescent ouvrages de vulgarisation; trouble deficitaire de lattention chez ladulte ouvrages de vulgarisation; trouble deficitaire de lattention traitement ouvrages de vulgarisation; troubles de lattention aspect genetique; troubles de lattention chez ladolescent; troubles de lattention diagnostic; troubles de lattention therapeutique
Darwin /,Christian Clot,9782344007297; 2344007296; 9782344013618; 234401361X,Glénat,bandes dessinees; darwin charles robert,161,bandes dessinees; darwin charles robert
Vanité /,Reynald Freudiger,9782889562466; 2889562468,Editions de l'Aire,roman suisse de langue francaise,162,roman suisse de langue francaise
Ceci n'est pas un fait divers : roman /,Philippe Besson,9782260055372; 2260055370,Julliard,roman,163,roman
L'attaque des citrouilles /,Anne-Gaëlle Balpe,9782092493892; 2092493892,Nathan,,164,
Mouches /,Mélanie Richoz,9782832110904; 2832110908,Éditions Slatkine,alzheimer maladie d,165,alzheimer maladie d
Alexandra David-Néel : [les chemins de Lhassa] /,Christian Perrissin,9782723498470; 2723498476,Glénat,bandes dessinees; davidneel alexandra,166,bandes dessinees; davidneel alexandra; tibet chine 20e siecle decouverte et exploration
Les femmes du bout du monde : roman /,Mélissa Da Costa,9782226472724; 222647272X,Albin Michel,roman francais,167,maoris peuple de nouvellezelande; roman francais
Rouge /,Claude Robert,9782828921149; 282892114X,Favre,roman policier; roman suisse de langue francaise,168,roman policier; roman suisse de langue francaise
Galel /,Fanny Desarzens,2832110894; 9782832110898,Éditions Slatkine,amitie; roman; roman suisse de langue francaise,169,amitie; roman; roman suisse de langue francaise
Le vol des Glaneuses /,Matteo.... Salvadore,9782883872295; 2883872295,Plaisir de lire,roman suisse de langue francaise,170,roman policier suisse de langue francaise
Nani : roman /,Mélanie Richoz,9782832112410; 2832112412,Slatkine,roman suisse de langue francaise,171,roman suisse de langue francaise
Le chant des innocents : roman /,Piergiorgio.... Pulixi,9782351782781; 235178278X,Gallmeister,roman policier italien,172,roman policier italien
Le petit guide illustré du TDAH : enfin comprendre comment je fonctionne ! : enfin apprendre à vivre avec ! /,Alice Gendron,9782226486523; 2226486526,Albin Michel,guides pratiques; trouble deficitaire de lattention avec ou sans hyperactivite,173,guides pratiques; neurodiversite; trouble deficitaire de lattention avec ou sans hyperactivite
James Cook /,Laurent-Frédéric Bollée,9782344036846; 2344036849; 9782344039397; 2344039392,Glénat,bandes dessinees; cook james; explorateurs,174,bandes dessinees; cook james; explorateurs
Buvettes et auberges d'alpages de Suisse romande,,9782970091660; 2970091666,Terre & nature,guides touristiques et de visite; montagnes; suisse romande,175,buvettes suisse romande; guides touristiques et de visite; restaurants montagnes
Le philatéliste : roman /,Nicolas.... Feuz,9782889730445; 2889730441,Rosie & Wolfe,roman suisse de langue francaise,176,roman policier suisse de langue francaise
Déréglée : journal d'une ménopause /,Francine.... Oomen,9782258202351; 2258202353,Les Presses de la Cité,graphic novel; menopause; romans graphiques,177,graphic novel; menopause; menopause recits personnels; romans graphiques
Astra Nova /,Lisa Blumen,9782390041023; 2390041027,L'Employé du Moi,bandes dessinees,178,bandes dessinees
Demain les oiseaux : intégrale /,Osamu Tezuka,9782413045304; 2413045309,Delcourt,bandes dessinees,179,bandes dessinees
L'engrenage du mal /,Nicolas Feuz,9782889441433; 2889441431,Slatkine & Cie,roman policier,180,roman policier
Franklin : les prisonniers de l'Arctique /,"Michel, auteur de BD Durand",9782344032688; 2344032681,Glénat,arctique; bandes dessinees; decouverte et exploration,181,bandes dessinees; passage du nordouest arctique; pole nord decouverte et exploration
Les larmes du lagon /,Nicolas.... Feuz,9782889442164; 2889442160,Slatkine & Cie,roman policier; roman suisse,182,roman policier; roman suisse
Vallée du silicium /,Alain.... Damasio,9782021558746; 2021558746,Villa Albertine; Seuil,bandes dessinees de sciencefiction; essai genre litteraire; modes de vie,183,essai genre litteraire; modes de vie effets des innovations technologiques; nouvelles de sciencefiction francophones
A la poursuite du dragon /,Karine Yoakim-Pasquier,9791021407718,Oskar Editeur,japon; roman pour la jeunesse,184,arts martiaux; japon; roman pour la jeunesse
Le koala qui disait des gros mots /,Christine Beigel,9782013936354; 2013936354,Gautier-Languereau,livres dimages,185,livres dimages; mots grossiers
Killiok /,Anne Brouillard,9782211322041; 2211322042,L'Ecole des loisirs,habitations; livres dimages,186,habitations; livres dimages
On a volé mon slip ! /,Dominique Torti,9782970146223; 2970146223,Editions Torti,livres premieres lectures,187,livres premieres lectures
"Berne, nid d'espions : l'affaire Dubois 1955-1957 /",Eric Burnand,9782889012350; 2889012352,Antipodes,bandes dessinees; relations exterieures suisse pays de lunion europeenne,188,bandes dessinees; relations exterieures algerie berne suisse ville
"Danemark, Suède",,9782067251069; 2067251066,Michelin,danemark; guides touristiques et de visite; suede,189,danemark; guides touristiques et de visite; suede
"Danemark, Suède : 2017-2018 /",,9782012799363; 2012799361,Hachette Tourisme,danemark; guides touristiques et de visite; suede,190,danemark; guides touristiques et de visite; suede
Cinq méditations sur la beauté /,François Cheng,2226172157; 9782226172150; 2226139605; 9782226139603,Albin Michel,beaute feminine esthetique; philosophie,191,beaute philosophie; beaute philosophie chinoise; philosophie
"Mourir : ce que l'on sait, ce que l'on peut faire, comment s'y préparer /",Gian Domenico Borasio,9782889154074; 2889154076,Genoud Arts graphiques; Presses polytechniques et universitaires romandes,accompagnement social; attitude to death; euthanasie; fin de vie; mort; palliative care; suicide assisted; terminal care,192,accompagnement de la fin de vie; attitude to death; euthanasia; fin de vie; mort; palliative care; suicide assisted; terminal care
Le hasard enchanté et les forces de l'espoir /,Patrick Clervoy,9782415002961; 2415002968,Odile Jacob,ecrivains; psychiatrie; psychologie,193,destin et fatalisme; ecrivains; hasard; psychiatrie; psychologie
Pologne,,9782067244993; 206724499X,Michelin,guides touristiques et de visite,194,guides touristiques et de visite; pologne
Soigner les vivants et parler aux morts /,Brigitte Favre,9782828918835; 2828918831,Favre,deuil; mediums; peur,195,deuil; mediumnite; peur de la mort
Venise,,9782067256187; 2067256181,Michelin,guides touristiques et de visite; venise italie,196,guides touristiques et de visite; venise italie
"Après Jésus : l'invention du christianisme"" /",,9782226479501; 2226479503,Albin Michel,,197,
"Spinoza : éthique, de la vérité au bonheur /","Baruch, dit Benedictus de Spinoza",9782100810567; 2100810561,Dunod,bandes dessinees; spinoza baruch ethique,198,bandes dessinees; spinoza baruch ethique
En thérapie : la psychanalyse en série /,Joffrey Ricome,9782324032042; 232403204X,Gründ,ouvrages de vulgarisation; psychanalyse; series televisees,199,ouvrages de vulgarisation; psychanalyse; series televisees critique et interpretation
Les nouvelles routes du soi : [en immersion chez les nouveaux spirituels] /,Marc 19-.... Bonomelli,9782918682936; 2918682934,Arkhê,chamanisme; conscience; meditation; realisation de soi; sorcieres; spiritualite,200,chamanisme; conscience de soi; gourous; meditation; realisation de soi; sorcieres; spiritualite
Guérir nos âmes blessées : la révolution des thérapies /,David Gourion,9782501173742; 2501173740,Marabout,psychopathologie; psychotherapie,201,psychopathologie; psychotherapie
King Kong théorie /,Virginie Despentes,2246686113; 9782246686118,Bernard Grasset,feminisme 20e siecle,202,feminisme femme 21e s debut
Le marché des dieux : comment naissent les innovations religieuses : du judaïsme au christianisme /,Dominique Desjeux,9782130836018; 2130836011,PUF,anthropologie; christianisme,203,christianisme anthropologie; christianisme relations judaisme; judaisme anthropologie; judaisme relations christianisme
Une histoire de l'ergot de seigle : du mal des ardents au LSD /,Jean médecin gastro-entérologue.... Vitaux,9782130842835; 2130842836,Puf,histoire,204,ergot de seigle; histoire
